dummy index,Johnson Controls Name,BACnet Name,BACnet Description,BACnet Unit,Ground Truth Point Type,Point Ref,Location,Equipment Type,Equipment Ref,Equipment Subsystems,Building,Comments,BACnet Type Str
575,EBU3B.RM-1208B..ACTCLGSP,NAE 05 N2 2 VMA 121 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1208B,VAV,121,VAV -> Rm_1208B,EBU3B,,Analog Input
591,EBU3B.RM-1212..ACTCLGSP,NAE 05 N2 2 VMA 119 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1212,VAV,119,VAV -> Rm_1212,EBU3B,,Analog Input
607,EBU3B.RM-1213..ACTCLGSP,NAE 05 N2 2 VMA 109 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1213,VAV,109,VAV -> Rm_1213,EBU3B,,Analog Input
619,EBU3B.RM-1213A..ACTCLGSP,NAE 05 N2 2 VMA 110 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1213A,VAV,110,VAV -> Rm_1213A,EBU3B,,Analog Input
631,EBU3B.RM-1217..ACTCLGSP,NAE 05 N2 2 VMA 112 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1217,VAV,112,VAV -> Rm_1217,EBU3B,,Analog Input
647,EBU3B.RM-1218..ACTCLGSP,NAE 05 N2 2 VMA 118 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1218,VAV,118,VAV -> Rm_1218,EBU3B,,Analog Input
663,EBU3B.RM-1221..ACTCLGSP,NAE 05 N2 2 VMA 123 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1221,VAV,123,VAV -> Rm_1221,EBU3B,,Analog Input
679,EBU3B.RM-1223..ACTCLGSP,NAE 05 N2 2 VMA 124 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1223,VAV,124,VAV -> Rm_1223,EBU3B,,Analog Input
695,EBU3B.RM-1224..ACTCLGSP,NAE 05 N2 2 VMA 117 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1224,VAV,117,VAV -> Rm_1224,EBU3B,,Analog Input
711,EBU3B.RM-1229..ACTCLGSP,NAE 05 N2 2 VMA 114 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1229,VAV,114,VAV -> Rm_1229,EBU3B,,Analog Input
727,EBU3B.RM-1230..ACTCLGSP,NAE 05 N2 2 VMA 116 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1230,VAV,116,VAV -> Rm_1230,EBU3B,,Analog Input
743,EBU3B.RM-1231..ACTCLGSP,NAE 05 N2 2 VMA 113 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1231,VAV,113,VAV -> Rm_1231,EBU3B,,Analog Input
759,EBU3B.RM-1236..ACTCLGSP,NAE 05 N2 2 VMA 115 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1236,VAV,115,VAV -> Rm_1236,EBU3B,,Analog Input
783,EBU3B.RM-2102..ACTCLGSP,NAE 06 N2 1 VMA146 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2102,VAV,146,VAV -> Rm_2102,EBU3B,,Analog Input
799,EBU3B.RM-2105..ACTCLGSP,NAE 06 N2 1 VMA147 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2105,VAV,147,VAV -> Rm_2105,EBU3B,,Analog Input
815,EBU3B.RM-2107..ACTCLGSP,NAE 06 N2 1 VMA145 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2107,VAV,145,VAV -> Rm_2107,EBU3B,,Analog Input
831,EBU3B.RM-2108..ACTCLGSP,NAE 06 N2 1 VMA144 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2108,VAV,144,VAV -> Rm_2108,EBU3B,,Analog Input
847,EBU3B.RM-2109..ACTCLGSP,NAE 06 N2 1 VMA156 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2109,VAV,156,VAV -> Rm_2109,EBU3B,,Analog Input
